Airline,Source,Destination,Total_Stops,Month_of_Journey,Day_of_Journey,Duration_in_minute,Price
Multiple carriers,Delhi,Cochin,1 stop,9,6,505,11098
Multiple carriers,Delhi,Cochin,1 stop,5,21,480,7888
Multiple carriers,Delhi,Cochin,1 stop,9,3,535,16259
Jet Airways,Banglore,New Delhi,1 stop,6,3,1305,17471
Jet Airways,Delhi,Cochin,2 stops,6,27,1195,11150
IndiGo,Banglore,Delhi,non-stop,9,4,170,4823
Multiple carriers,Delhi,Cochin,1 stop,9,3,440,14086
Jet Airways,Delhi,Cochin,1 stop,5,18,865,12373
SpiceJet,Chennai,Kolkata,non-stop,6,24,135,3597
IndiGo,Kolkata,Banglore,non-stop,1,6,155,5224
SpiceJet,Banglore,Delhi,non-stop,5,24,160,3311
Air India,Delhi,Cochin,3 stops,6,15,2280,10703
Jet Airways,Delhi,Cochin,2 stops,12,6,1615,10368
Multiple carriers,Delhi,Cochin,1 stop,9,5,750,15078
Vistara,Banglore,New Delhi,non-stop,3,24,160,4878
Vistara,Banglore,New Delhi,non-stop,3,21,165,4878
Jet Airways,Banglore,Delhi,non-stop,12,4,175,5198
Jet Airways,Banglore,New Delhi,1 stop,9,3,1590,11087
IndiGo,Banglore,New Delhi,1 stop,3,3,300,11873
Multiple carriers,Delhi,Cochin,1 stop,5,27,450,7198
Jet Airways,Banglore,Delhi,non-stop,5,24,180,7229
Jet Airways,Kolkata,Banglore,1 stop,12,6,685,9899
Multiple carriers,Delhi,Cochin,3 stops,12,6,565,15629
Jet Airways,Banglore,Delhi,non-stop,5,27,175,4030
SpiceJet,Kolkata,Banglore,non-stop,1,5,150,3841
Jet Airways,Kolkata,Banglore,1 stop,12,6,395,12692
Jet Airways,Kolkata,Banglore,1 stop,12,6,1450,12692
Vistara,Chennai,Kolkata,non-stop,12,5,140,11982
IndiGo,Delhi,Cochin,1 stop,3,21,400,10208
Air India,Mumbai,Hyderabad,non-stop,9,6,90,3100
SpiceJet,Kolkata,Banglore,1 stop,12,6,435,8479
Jet Airways,Delhi,Cochin,1 stop,6,27,1100,10262
IndiGo,Kolkata,Banglore,1 stop,1,5,295,8443
Jet Airways,Delhi,Cochin,1 stop,3,27,995,12242
Jet Airways,Delhi,Cochin,2 stops,6,15,830,10919
Jet Airways,Delhi,Cochin,1 stop,5,21,450,16079
Jet Airways,Delhi,Cochin,2 stops,5,21,1430,15129
Multiple carriers,Delhi,Cochin,1 stop,3,6,600,8099
Vistara,Kolkata,Banglore,1 stop,1,4,1440,8452
Air India,Kolkata,Banglore,2 stops,5,18,535,8366
Air India,Banglore,Delhi,non-stop,5,21,170,6961
Multiple carriers,Delhi,Cochin,1 stop,6,3,505,17267
Jet Airways,Kolkata,Banglore,1 stop,3,24,1220,13759
Air India,Delhi,Cochin,2 stops,5,18,1410,10651
Vistara,Chennai,Kolkata,non-stop,9,5,135,3687
Air India,Delhi,Cochin,non-stop,3,18,185,4729
Air Asia,Delhi,Cochin,1 stop,3,6,870,8759
Jet Airways,Delhi,Cochin,2 stops,12,6,1375,13292
IndiGo,Banglore,Delhi,non-stop,12,5,175,4823
Jet Airways,Kolkata,Banglore,1 stop,9,6,435,8355
IndiGo,Banglore,Delhi,non-stop,4,18,170,4591
Jet Airways,Mumbai,Hyderabad,non-stop,5,24,90,4995
IndiGo,Delhi,Cochin,1 stop,9,3,300,7725
Air India,Banglore,New Delhi,1 stop,3,3,790,6781
IndiGo,Delhi,Cochin,1 stop,5,15,305,10123
Multiple carriers,Delhi,Cochin,1 stop,5,27,780,9450
Multiple carriers,Delhi,Cochin,1 stop,9,5,750,9424
Jet Airways,Delhi,Cochin,2 stops,6,6,1375,10368
Vistara,Chennai,Kolkata,non-stop,1,5,135,3687
Jet Airways,Delhi,Cochin,1 stop,3,6,660,10577
IndiGo,Delhi,Cochin,1 stop,6,15,320,6147
Air India,Mumbai,Hyderabad,non-stop,5,24,80,3100
Air Asia,Kolkata,Banglore,2 stops,3,24,450,11245
IndiGo,Banglore,New Delhi,non-stop,3,3,175,7648
Jet Airways,Delhi,Cochin,1 stop,9,6,1425,10577
Multiple carriers,Delhi,Cochin,2 stops,3,3,850,8938
Air India,Kolkata,Banglore,1 stop,6,6,745,8366
Jet Airways,Banglore,Delhi,non-stop,3,4,180,7229
IndiGo,Chennai,Kolkata,non-stop,5,21,140,3597
Air India,Delhi,Cochin,2 stops,6,15,1800,12182
IndiGo,Delhi,Cochin,1 stop,3,6,895,5883
IndiGo,Delhi,Cochin,2 stops,1,3,985,10278
Jet Airways,Delhi,Cochin,1 stop,5,18,1655,12373
Jet Airways,Banglore,Delhi,non-stop,12,5,175,7229
Jet Airways,Delhi,Cochin,2 stops,5,18,1775,16704
SpiceJet,Kolkata,Banglore,non-stop,4,21,145,4491
IndiGo,Delhi,Cochin,1 stop,3,21,515,6558
Air India,Banglore,New Delhi,2 stops,12,3,1745,13303
Jet Airways,Kolkata,Banglore,1 stop,6,6,1330,8586
Jet Airways,Kolkata,Banglore,1 stop,5,18,570,14781
Jet Airways,Kolkata,Banglore,1 stop,12,6,1495,13044
Jet Airways,Delhi,Cochin,1 stop,5,27,1530,16079
IndiGo,Delhi,Cochin,1 stop,9,3,625,6674
Jet Airways,Mumbai,Hyderabad,non-stop,6,27,90,8040
Jet Airways,Kolkata,Banglore,1 stop,6,6,450,7757
Jet Airways,Kolkata,Banglore,1 stop,12,5,590,14781
Jet Airways,Delhi,Cochin,2 stops,6,27,1490,13882
IndiGo,Kolkata,Banglore,1 stop,6,4,265,3480
Jet Airways,Mumbai,Hyderabad,non-stop,9,3,90,4050
Air Asia,Banglore,New Delhi,non-stop,3,15,170,5615
Jet Airways,Delhi,Cochin,1 stop,6,3,1015,15764
Air India,Banglore,Delhi,non-stop,6,21,165,6961
Jet Airways,Delhi,Cochin,1 stop,12,6,715,15190
IndiGo,Kolkata,Banglore,1 stop,5,15,220,4226
Multiple carriers,Delhi,Cochin,1 stop,3,27,570,12537
Jet Airways,Kolkata,Banglore,1 stop,12,5,1480,10703
